Timestamp,UTC,Latitude,Longitude,Altitude,Speed,Pitch,Bank,Heading
0,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-9,-1,68
100,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-9,-1,69
200,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-9,-1,69
300,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-9,-1,69
400,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-9,-1,69
500,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-10,-1,69
600,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-10,-1,69
700,2026-02-18T19:20:44Z,47.234905,11.295457,5516,267,-10,-1,69
800,2026-02-18T19:20:44Z,47.234910,11.295475,5516,267,-10,-1,69
900,2026-02-18T19:20:44Z,47.234926,11.295540,5519,267,-10,-1,69
1000,2026-02-18T19:20:45Z,47.234946,11.295623,5521,267,-10,-2,69
1100,2026-02-18T19:20:45Z,47.234969,11.295718,5525,267,-10,-2,69
1200,2026-02-18T19:20:45Z,47.234995,11.295823,5528,267,-10,-2,69
1300,2026-02-18T19:20:45Z,47.235022,11.295935,5532,267,-10,-2,69
1400,2026-02-18T19:20:45Z,47.235051,11.296052,5536,267,-10,-2,69
1500,2026-02-18T19:20:45Z,47.235079,11.296169,5540,267,-10,-2,69
1600,2026-02-18T19:20:45Z,47.235108,11.296285,5544,267,-10,-2,69
1700,2026-02-18T19:20:45Z,47.235134,11.296395,5548,267,-10,-2,69
1800,2026-02-18T19:20:45Z,47.235159,11.296496,5551,267,-10,-2,69
1900,2026-02-18T19:20:45Z,47.235183,11.296595,5555,267,-10,-2,69
2000,2026-02-18T19:20:46Z,47.235207,11.296695,5558,267,-10,-2,69
2100,2026-02-18T19:20:46Z,47.235232,11.296796,5561,267,-10,-2,69
2200,2026-02-18T19:20:46Z,47.235256,11.296897,5565,268,-10,-2,69
2300,2026-02-18T19:20:46Z,47.235281,11.296998,5568,268,-10,-2,69
2400,2026-02-18T19:20:46Z,47.235306,11.297100,5572,268,-10,-2,69
2500,2026-02-18T19:20:46Z,47.235330,11.297201,5576,268,-10,-2,69
2600,2026-02-18T19:20:46Z,47.235355,11.297302,5579,268,-10,-2,69
2700,2026-02-18T19:20:46Z,47.235379,11.297403,5583,268,-10,-2,69
2800,2026-02-18T19:20:46Z,47.235403,11.297503,5586,268,-10,-2,69
2900,2026-02-18T19:20:46Z,47.235428,11.297605,5590,268,-10,-2,69
3000,2026-02-18T19:20:47Z,47.235452,11.297706,5593,268,-10,-2,69
3100,2026-02-18T19:20:47Z,47.235477,11.297807,5597,268,-10,-2,69
3200,2026-02-18T19:20:47Z,47.235501,11.297908,5600,268,-10,-2,69
3300,2026-02-18T19:20:47Z,47.235526,11.298009,5604,268,-10,-2,69
3400,2026-02-18T19:20:47Z,47.235550,11.298110,5607,268,-10,-2,69
3500,2026-02-18T19:20:47Z,47.235574,11.298210,5611,268,-10,-2,69
3600,2026-02-18T19:20:47Z,47.235598,11.298310,5614,268,-10,-2,69
3700,2026-02-18T19:20:47Z,47.235622,11.298410,5617,268,-10,-2,69
3800,2026-02-18T19:20:47Z,47.235646,11.298510,5621,268,-10,-2,69
3900,2026-02-18T19:20:47Z,47.235671,11.298613,5625,268,-10,-2,69
4000,2026-02-18T19:20:48Z,47.235696,11.298714,5628,268,-10,-2,69
4100,2026-02-18T19:20:48Z,47.235720,11.298816,5632,268,-10,-2,69
4200,2026-02-18T19:20:48Z,47.235744,11.298917,5635,268,-10,-2,69
4300,2026-02-18T19:20:48Z,47.235768,11.299017,5639,268,-10,-2,69
4400,2026-02-18T19:20:48Z,47.235793,11.299118,5642,268,-10,-1,69
4500,2026-02-18T19:20:48Z,47.235817,11.299219,5646,268,-10,-1,69
4600,2026-02-18T19:20:48Z,47.235841,11.299321,5649,268,-10,-1,69
4700,2026-02-18T19:20:48Z,47.235866,11.299424,5653,268,-10,-1,69
4800,2026-02-18T19:20:48Z,47.235890,11.299525,5656,268,-10,-1,69
4900,2026-02-18T19:20:48Z,47.235914,11.299625,5660,268,-10,-2,69
5000,2026-02-18T19:20:49Z,47.235938,11.299725,5663,268,-10,-2,69
5100,2026-02-18T19:20:49Z,47.235963,11.299826,5667,268,-10,-2,69
5200,2026-02-18T19:20:49Z,47.235987,11.299927,5670,268,-10,-2,69
5300,2026-02-18T19:20:49Z,47.236011,11.300029,5674,268,-10,-2,69
5400,2026-02-18T19:20:49Z,47.236036,11.300130,5677,268,-10,-2,69
5500,2026-02-18T19:20:49Z,47.236060,11.300232,5681,268,-10,-2,69
5600,2026-02-18T19:20:49Z,47.236084,11.300333,5685,268,-10,-2,69
5700,2026-02-18T19:20:49Z,47.236109,11.300434,5688,268,-10,-2,69
5800,2026-02-18T19:20:49Z,47.236133,11.300535,5692,268,-10,-2,69
5900,2026-02-18T19:20:49Z,47.236157,11.300638,5695,268,-10,-2,69
6000,2026-02-18T19:20:50Z,47.236182,11.300739,5699,268,-10,-2,69
6100,2026-02-18T19:20:50Z,47.236206,11.300841,5702,268,-10,-2,69
6200,2026-02-18T19:20:50Z,47.236230,11.300943,5706,269,-10,-2,69
6300,2026-02-18T19:20:50Z,47.236255,11.301044,5710,269,-10,-2,69
6400,2026-02-18T19:20:50Z,47.236279,11.301146,5713,269,-10,-2,69
6500,2026-02-18T19:20:50Z,47.236303,11.301248,5717,269,-10,-2,69
6600,2026-02-18T19:20:50Z,47.236327,11.301350,5721,269,-10,-2,69
6700,2026-02-18T19:20:50Z,47.236352,11.301452,5724,269,-10,-2,69
6800,2026-02-18T19:20:50Z,47.236376,11.301553,5728,269,-10,-2,69
6900,2026-02-18T19:20:50Z,47.236400,11.301654,5731,269,-10,-2,69
7000,2026-02-18T19:20:51Z,47.236424,11.301755,5735,269,-10,-2,69
7100,2026-02-18T19:20:51Z,47.236448,11.301857,5739,269,-10,-2,69
7200,2026-02-18T19:20:51Z,47.236472,11.301959,5742,269,-10,-2,69
7300,2026-02-18T19:20:51Z,47.236496,11.302060,5746,269,-10,-2,69
7400,2026-02-18T19:20:51Z,47.236520,11.302162,5750,269,-10,-2,70
7500,2026-02-18T19:20:51Z,47.236544,11.302263,5753,269,-10,-2,70
7600,2026-02-18T19:20:51Z,47.236568,11.302363,5757,269,-10,-2,70
7700,2026-02-18T19:20:51Z,47.236592,11.302463,5760,269,-10,-2,70
7800,2026-02-18T19:20:51Z,47.236615,11.302562,5764,269,-10,-2,70
7900,2026-02-18T19:20:51Z,47.236640,11.302666,5768,269,-10,-2,70
8000,2026-02-18T19:20:52Z,47.236664,11.302768,5771,269,-10,-2,70
8100,2026-02-18T19:20:52Z,47.236688,11.302869,5775,269,-10,-2,70
8200,2026-02-18T19:20:52Z,47.236711,11.302970,5779,269,-10,-2,70
8300,2026-02-18T19:20:52Z,47.236735,11.303070,5782,269,-10,-2,70
8400,2026-02-18T19:20:52Z,47.236759,11.303170,5786,269,-10,-2,70
8500,2026-02-18T19:20:52Z,47.236782,11.303271,5790,269,-10,-2,70
8600,2026-02-18T19:20:52Z,47.236806,11.303373,5793,269,-10,-2,70
8700,2026-02-18T19:20:52Z,47.236831,11.303477,5797,269,-10,-2,70
8800,2026-02-18T19:20:52Z,47.236854,11.303579,5801,269,-10,-2,70
8900,2026-02-18T19:20:52Z,47.236878,11.303679,5804,269,-10,-2,70
9000,2026-02-18T19:20:53Z,47.236902,11.303780,5808,269,-10,-2,70
9100,2026-02-18T19:20:53Z,47.236926,11.303882,5812,269,-10,-2,70
9200,2026-02-18T19:20:53Z,47.236950,11.303985,5816,269,-10,-2,70
9300,2026-02-18T19:20:53Z,47.236974,11.304088,5819,269,-10,-2,70
9400,2026-02-18T19:20:53Z,47.236998,11.304191,5823,269,-10,-2,70
9500,2026-02-18T19:20:53Z,47.237022,11.304294,5827,269,-10,-2,70
9600,2026-02-18T19:20:53Z,47.237046,11.304397,5831,269,-10,-2,70
9700,2026-02-18T19:20:53Z,47.237070,11.304498,5834,269,-10,-2,70
9800,2026-02-18T19:20:53Z,47.237093,11.304600,5838,269,-10,-2,70
9900,2026-02-18T19:20:53Z,47.237117,11.304702,5842,269,-10,-2,70
10000,2026-02-18T19:20:54Z,47.237141,11.304805,5846,269,-10,-2,70
10100,2026-02-18T19:20:54Z,47.237165,11.304906,5849,269,-10,-2,70
10200,2026-02-18T19:20:54Z,47.237188,11.305008,5853,269,-10,-2,70
10300,2026-02-18T19:20:54Z,47.237212,11.305109,5857,269,-10,-2,70
10400,2026-02-18T19:20:54Z,47.237235,11.305210,5860,269,-10,-2,70
10500,2026-02-18T19:20:54Z,47.237259,11.305311,5864,269,-10,-2,70
10600,2026-02-18T19:20:54Z,47.237283,11.305413,5868,269,-10,-2,70
10700,2026-02-18T19:20:54Z,47.237306,11.305515,5872,269,-10,-2,70
10800,2026-02-18T19:20:54Z,47.237330,11.305616,5875,269,-10,-2,70
10900,2026-02-18T19:20:54Z,47.237353,11.305717,5879,269,-10,-2,70
11000,2026-02-18T19:20:55Z,47.237377,11.305818,5883,269,-10,-2,71
11100,2026-02-18T19:20:55Z,47.237400,11.305920,5887,269,-10,-2,71
11200,2026-02-18T19:20:55Z,47.237424,11.306021,5890,269,-10,-2,71
11300,2026-02-18T19:20:55Z,47.237447,11.306123,5894,269,-10,-2,71
11400,2026-02-18T19:20:55Z,47.237471,11.306224,5898,269,-10,-2,71
11500,2026-02-18T19:20:55Z,47.237494,11.306325,5902,269,-10,-2,71
11600,2026-02-18T19:20:55Z,47.237518,11.306427,5905,269,-10,-2,71
11700,2026-02-18T19:20:55Z,47.237541,11.306528,5909,269,-10,-2,71
11800,2026-02-18T19:20:55Z,47.237564,11.306630,5913,269,-10,-2,71
11900,2026-02-18T19:20:55Z,47.237588,11.306732,5917,269,-10,-2,71
12000,2026-02-18T19:20:56Z,47.237612,11.306834,5921,269,-10,-2,71
12100,2026-02-18T19:20:56Z,47.237635,11.306936,5924,269,-10,-2,71
12200,2026-02-18T19:20:56Z,47.237659,11.307038,5928,269,-10,-2,71
12300,2026-02-18T19:20:56Z,47.237682,11.307141,5932,269,-10,-2,71
12400,2026-02-18T19:20:56Z,47.237706,11.307243,5936,269,-10,-2,71
12500,2026-02-18T19:20:56Z,47.237729,11.307345,5940,269,-10,-2,71
12600,2026-02-18T19:20:56Z,47.237753,11.307446,5944,268,-10,-2,71
12700,2026-02-18T19:20:56Z,47.237776,11.307548,5948,268,-10,-2,71
12800,2026-02-18T19:20:56Z,47.237799,11.307649,5951,268,-10,-2,71
12900,2026-02-18T19:20:56Z,47.237823,11.307751,5955,268,-10,-2,71
13000,2026-02-18T19:20:57Z,47.237846,11.307852,5959,268,-10,-2,71
13100,2026-02-18T19:20:57Z,47.237869,11.307952,5963,268,-10,-2,71
13200,2026-02-18T19:20:57Z,47.237892,11.308053,5966,268,-10,-2,71
13300,2026-02-18T19:20:57Z,47.237915,11.308154,5970,268,-10,-2,71
13400,2026-02-18T19:20:57Z,47.237938,11.308254,5974,268,-10,-2,71
13500,2026-02-18T19:20:57Z,47.237961,11.308355,5978,268,-10,-2,71
13600,2026-02-18T19:20:57Z,47.237984,11.308456,5981,268,-10,-2,71
13700,2026-02-18T19:20:57Z,47.238008,11.308557,5985,268,-10,-2,71
13800,2026-02-18T19:20:57Z,47.238031,11.308659,5989,268,-10,-2,72
13900,2026-02-18T19:20:57Z,47.238054,11.308761,5993,268,-10,-2,72
14000,2026-02-18T19:20:58Z,47.238077,11.308863,5997,268,-10,-2,72
14100,2026-02-18T19:20:58Z,47.238101,11.308966,6000,268,-10,-2,72
